Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK Phone Nokia C31 4/64 v4 HRA,85,"3,999",365,"35,024",0.233600000,,0.114178849
MK +Phone Samsung A03 Core 2/32 v17 DS,55,"1,799",440,"25,999",0.142000000,,0.069194969
MK Phone Nokia G21 4/64 Staff v9,70,"2,699",365,"28,249",0.086900000,,0.095543205
MK +Phone Nokia C31 4/64 v1,65,"1,999",420,"29,299",0.154600000,,0.068227585
MK +Phone Nokia G21 4/64 v4,65,"1,999",400,"27,999",0.117600000,,0.071395407
MK Phone Samsung A23 4/64 v13,100,"6,999",365,"43,499",0.095800000,,0.160900251
MK Phone  ST Pilot Samsung A04 3/32 v2,65,"4,399",365,"28,124",0.107500000,,0.15641445
MK Phone Nokia G50 4/128 v18,100,"5,999",365,"42,499",0.111300000,,0.141156263
MK +Phone Samsung A03 Core 2/32  DS v16,55,"1,499",400,"23,499",0.131200000,,0.063789949
MK Phone Nokia G22 4/128 v1 F&F,135,"8,699",365,"57,974",0.122200000,,0.150050022
MK Phone Samsung A04S 4/64 DS v3,95,"4,899",365,"39,574",0.134400000,,0.1237934
MK Phone Samsung A23 4/128  ST Pilot v2,120,"9,699",365,"53,499",0.107500000,,0.181293108
MK Phone Samsung A53 6/128 Staff v5,160,"10,999",365,"69,399",0.040000000,,0.158489315
MK +Phone Nokia G21 4/64 CSTR 1 v20 DS,95,"2,499",390,"39,549",0.174700000,,0.063187438
MK Phone Samsung A03 Core 2/32 v2,50,"2,499",365,"20,749",0.148400000,,0.120439539
MK +Phone Samsung A10S v2,60,0,400,"24,000",1.006400000,,0
MK Phone Nokia Test v1,1,0,365,365,0.983500000,,0
MK +Phone Samsung A10S v4,60,0,400,"24,000",0.959100000,,0
MK Phone Tecno Test v1,1,0,365,365,0.919300000,,0
MK Phone Nokia C10 1/32 v1 F&F,40,"2,999",365,"17,599",0.822800000,,0.17040741
MK Phone Nokia C1 2nd Edition v1 F&F,35,"2,499",365,"15,274",0.801300000,,0.163611366
MK +Phone Samsung A21 v9,80,"2,199",420,"35,799",0.737600000,,0.061426297
MK Phone Nokia G21 4/64 HMD v17 HRA,80,"5,599",365,"34,799",0.724500000,,0.160895428
MK Phone Nokia C20 2/32 Staff v6,45,"1,499",365,"17,924",0.677000000,,0.083630886
MK Phone Samsung A10S v6 DEMO,50,"1,999",320,"17,999",0.661100000,,0.111061726
MK Phone Nokia C31 4/64 v2 Sailfish F&F,85,"3,999",365,"35,024",0.516000000,,0.114178849
MK Phone Samsung A11 v1,60,"4,999",365,"26,899",0.505200000,,0.18584334
MK Phone Nokia T20 Tablet 4/64 F&F v1,110,"8,999",365,"49,149",0.499800000,,0.183096299
MK +Phone Samsung A22 4/64 v9,80,"5,999",380,"36,399",0.452600000,,0.16481222
MK Phone Samsung A03 Micro Biz v4,30,0,600,"18,000",0.431200000,,0
MK Phone Nokia C21 2/32 F&F v1,50,"3,799",365,"22,049",0.413600000,,0.172298063
MK +Phone Nokia T20 Tablet 4/64 LDR v2,85,"7,999",420,"43,699",0.411000000,,0.183047667
MK +Phone Samsung A23 4/64 CSTR 2,110,"8,499",440,"56,899",0.403900000,,0.149369936
MK Phone Nokia C21 2/32 HMD v12 HRA,50,"3,399",365,"21,649",0.386700000,,0.157004942
MK Phone Nokia X10 6/128 v1 F&F,110,"7,999",365,"48,149",0.371400000,,0.166130138
MK Phone Samsung A53 6/128 F&F v1,165,"12,999",365,"73,224",0.361800000,,0.177523763
MK +Phone Nokia T20 Tablet 4/64 HDR v3,95,"3,999",420,"43,899",0.346000000,,0.091095469
MK Phone Samsung A02 2GB/32GB v1,50,"3,599",365,"21,849",0.324300000,,0.164721498
MK Phone Samsung A03 Core 2/32 v11,50,"3,299",365,"21,549",0.297000000,,0.153092951
MK Phone Nokia G21 4/64 v1 F&F,70,"4,999",365,"30,549",0.296700000,,0.163638744
MK Phone Nokia G10 3/32 Staff v13,55,"2,899",365,"22,974",0.296600000,,0.126186123
MK +Phone Samsung A10S v1,60,999,365,"22,899",0.296200000,,0.043626359
MK Phone Nokia C30 2/32 v15 HRA,60,"6,124",365,"28,024",0.290600000,,0.218526977
MK Phone Samsung A02 2GB/32GB v2,50,"3,499",365,"21,749",0.269600000,,0.16088096
MK +Phone Samsung A22 4/64 v4,85,"5,999",365,"37,024",0.265000000,,0.162030035
MK Phone Samsung A10S v19,60,"4,499",365,"26,399",0.260300000,,0.170423122
MK +Phone Samsung A13 4/64  CSTR 2,95,"5,999",400,"43,999",0.256900000,,0.136344008
MK Phone Nokia 2.4 Saf-Data v1,50,"3,499",365,"21,749",0.248600000,,0.16088096
MK Phone Nokia C30 2/32 HMD v17 HRA,65,"4,299",365,"28,024",0.246300000,,0.153404225
MK Phone Nokia G21 4/64 HMD v19 HRA,80,"4,999",365,"34,199",0.242800000,,0.146173865
MK Phone Nokia G50 4/128 Staff v9,100,"5,999",365,"42,499",0.238000000,,0.141156263
MK +Phone Nokia G21 4/64 CSTR 2 v21 DS,85,"3,499",410,"38,349",0.237700000,,0.091240971
MK +Phone Samsung A02 2GB/32GB v5,55,999,400,"22,999",0.234400000,,0.043436671
MK Phone Samsung A03 4/64 F&F v2,65,"4,499",365,"28,224",0.234200000,,0.159403345
MK Phone Nokia 2.4 v2,50,"3,499",365,"21,749",0.229000000,,0.16088096
MK +Phone Nokia G50 4/128 CSTR 2,115,"7,999",440,"58,599",0.226200000,,0.136504036
MK +Phone Nokia T20 Tablet 4/64 HDR v5,100,"5,999",460,"51,999",0.224000000,,0.115367603
MK +Phone Samsung A03 3/32 v11 Promo,65,"1,999",420,"29,299",0.218000000,,0.068227585
MK Phone Nokia G20 (4/64GB) Staff v5,70,999,360,"26,199",0.217800000,,0.038131226
MK Phone Samsung A02 3GB/64GB Staff v7,50,"1,299",340,"18,299",0.215800000,,0.070987486
MK Phone Nokia T21 Tablet 4/128 SS v1 F&F,150,"11,799",365,"66,549",0.215600000,,0.177297931
MK Phone Nokia G10 3/32 Saf HMD v9,65,"4,999",365,"28,724",0.214100000,,0.17403565
MK Phone Nokia G21 4/64 v17 HRA,80,"4,999",365,"34,199",0.213400000,,0.146173865
MK Phone Nokia G21 4/64 v16 HRA,80,"5,599",365,"34,799",0.212300000,,0.160895428
MK +Phone Samsung A02 2/32 Saf-Data v7,55,999,400,"22,999",0.208300000,,0.043436671
MK Phone Samsung A02 3GB/64GB v1,55,"3,999",365,"24,074",0.207900000,,0.166112819
MK Phone Samsung A03 Core 2/32 v15 HRA,50,"5,324",365,"23,574",0.207300000,,0.225842029
MK Phone Samsung A03 Core 2/32 v22 DS HRA,70,"3,499",365,"29,049",0.204100000,,0.120451651
MK Phone Samsung A03S 3/32 v6,65,"3,999",365,"27,724",0.200700000,,0.144243255
MK +Phone Samsung A03 3/32 v9,65,"2,499",420,"29,799",0.195400000,,0.083861875
MK Phone Nokia T10 Tablet (4/64) SS v1 F&F,80,"5,299",365,"34,499",0.193700000,,0.153598655
MK Phone Nokia C20 2/32 F&F v1,45,"3,299",365,"19,724",0.191100000,,0.167258163
MK Phone Nokia C31 4/64 v3,90,"4,099",365,"36,949",0.188100000,,0.110936697
MK +Phone Samsung A21 4/64 Saf-Data v13,85,"5,999",365,"37,024",0.187300000,,0.162030035
MK Phone Nokia C31 4/64 DS v7 ST Pilot,90,"4,099",365,"36,949",0.187100000,,0.110936697
MK Phone Nokia G50 4/128 HMD v120 HRA,100,"5,999",365,"42,499",0.184400000,,0.141156263
MK Phone Nokia C30 2/32 v16 HRA,65,"4,299",365,"28,024",0.184100000,,0.153404225
MK Phone Nokia 1.4 (2+32GB) Staff v9,45,"1,099",310,"15,049",0.184000000,,0.073028108
MK Phone Nokia G50 4/128 HMD v12,135,"9,499",365,"58,774",0.183900000,,0.161619083
MK +Phone Samsung A03 3/32 v10,60,"1,499",440,"27,899",0.183100000,,0.053729524
MK +Phone Samsung A02 3GB/64GB v3,60,999,365,"22,899",0.183000000,,0.043626359
MK Phone Samsung A24 4/128 F&F v1,150,"7,899",365,"62,649",0.181200000,,0.126083417
MK Phone Nokia C21 2/32 HMD v11,50,"3,399",365,"21,649",0.180700000,,0.157004942
MK Phone Nokia C31 4/64 v2 HRA,70,"4,299",365,"29,849",0.179300000,,0.144024925
MK Phone Samsung A03 Core 2/32 v19 DS,75,"3,499",365,"30,874",0.179100000,,0.113331606
MK Phone Samsung A10S Saf-Data v1,60,"4,499",365,"26,399",0.178300000,,0.170423122
MK Phone Nokia C31 4/64 v4,85,"3,999",365,"35,024",0.178200000,,0.114178849
MK Phone Nokia C01 Plus HMD 1/16 v8,40,"2,499",365,"17,099",0.177900000,,0.146148898
MK Phone Samsung A21 Saf-Data v1,85,"5,999",365,"37,024",0.176700000,,0.162030035
MK Phone Samsung A11 Saf-Data v1,60,"4,499",365,"26,399",0.174100000,,0.170423122
MK +Phone Nokia G50 4/128 CSTR1,120,"3,499",430,"55,099",0.173500000,,0.063503875
MK Phone Samsung A03 3/32 v10 Promo,70,"4,499",365,"30,049",0.171800000,,0.149722121
MK Phone Samsung A12 Saf-Data 6-M v1,130,"4,499",180,"27,899",0.171600000,,0.16126026
MK +Phone Nokia C21 2/32 v9,60,"1,499",410,"26,099",0.170900000,,0.057435151
MK Phone Samsung A03 Core 2/32 v20 DS HRA,65,"3,999",365,"27,724",0.170600000,,0.144243255
MK Phone Nokia G10 3/32 F&F v1,55,"3,999",365,"24,074",0.170300000,,0.166112819
MK +Phone Nokia 1.4 v4,50,999,420,"21,999",0.170200000,,0.045411155
MK Phone Nokia G20 4/64 Demo v2,65,999,360,"24,399",0.169800000,,0.040944301
MK Phone Samsung A21S STAFF v3,70,"2,999",365,"28,549",0.169400000,,0.105047462
MK Phone Samsung A13 4/64 v9,100,"7,499",365,"43,999",0.169300000,,0.170435692
MK +Phone Nokia C21 2/32 v8,65,"1,999",380,"26,699",0.169100000,,0.074871718
MK Phone Nokia 3.4 (4+64GB) v4,65,"4,999",365,"28,724",0.168800000,,0.17403565
MK Phone Samsung A03 3/32 v14 HRA,60,"3,999",365,"25,899",0.168300000,,0.154407506
MK +Phone Samsung A22 4/64 Saf-Data v7,85,"5,999",365,"37,024",0.167000000,,0.162030035
MK Phone Samsung A11 Staff v3,50,"2,999",320,"18,999",0.167000000,,0.157850413
MK +Phone Samsung A04S 4/64 CSTR1 v1,80,"2,999",400,"34,999",0.095400000,,0.085688163
MK Phone Nokia C21 Plus 3/32 v12 HRA,60,"3,999",365,"25,899",0.165900000,,0.154407506
MK Phone Nokia C01 Plus Iris HMD,40,"2,499",365,"17,099",0.165400000,,0.146148898
MK Phone Nokia C1 Plus Saf-Data v1,35,"2,499",365,"15,274",0.165100000,,0.163611366
MK Phone Samsung A02 3/64 Saf-Data v9,55,"3,499",365,"23,574",0.164900000,,0.148426232
MK Phone Nokia G50 4/128 v10,140,"9,499",365,"60,599",0.164800000,,0.156751762
MK Phone Nokia 3.4 (4+64GB) Staff v12,60,"1,399",355,"22,699",0.164300000,,0.061632671
MK Phone Samsung A03 Core 2/32 v17 ST Pilot,70,"3,499",365,"29,049",0.164000000,,0.120451651
MK Phone Nokia C01 Plus 1/16 v7,40,"2,499",365,"17,099",0.163700000,,0.146148898
MK Phone Nokia C31 4/64 v6 HMD,90,"4,099",365,"36,949",0.162700000,,0.110936697
MK Phone Samsung A03 4/64 v3 DS,85,"4,799",365,"35,824",0.161800000,,0.133960473
MK Phone Samsung A03 3/32 Staff v4,55,"1,999",365,"22,074",0.161600000,,0.090559029
MK Phone Nokia G10 3/32 v2,55,"3,999",365,"24,074",0.161100000,,0.166112819
MK Phone Samsung A02 3/64 Saf-Data 6-M v1,100,"3,499",180,"21,499",0.160000000,,0.162751756
MK Phone Samsung A13 4/64 v12,95,"5,999",365,"40,674",0.159100000,,0.147489797
MK Phone Nokia C22 2/64 v1 F&F,65,"2,799",365,"26,524",0.158600000,,0.10552707
MK Phone Nokia C01 Plus 1/16 v9,40,"2,499",365,"17,099",0.158600000,,0.146148898
MK Phone Samsung A04S 4/64 DS v3 HRA,95,"4,899",365,"39,574",0.157900000,,0.1237934
MK Phone Nokia C01 Plus 1/16 HMD v2 ,40,"3,299",365,"17,899",0.157800000,,0.184311973
MK Phone Samsung A03S 3/32 Staff v3,55,"1,499",365,"21,574",0.157800000,,0.069481784
MK Phone Samsung A03S 3/32 v5,65,"3,999",365,"27,724",0.157000000,,0.144243255
MK Phone Nokia G11 3/64 Plus F&F v1,65,"4,999",365,"28,724",0.156700000,,0.17403565
MK Phone Samsung A03 3/32 v12,65,"4,399",365,"28,124",0.156600000,,0.15641445
MK +Phone Samsung A03 Core 2/32 v13,60,"1,499",400,"25,499",0.156500000,,0.058786619
MK Phone Samsung A03 Saf-Data v1,40,"2,499",365,"17,099",0.156400000,,0.146148898
MK Phone Samsung A03 3/32 v9,70,"4,999",365,"30,549",0.156000000,,0.163638744
MK Phone Nokia G21 4/64 v19,80,"4,999",365,"34,199",0.155400000,,0.146173865
MK Phone Samsung A03 Core 2/32 v14 ST Pilot ,50,"3,999",365,"22,249",0.155200000,,0.179738415
MK Phone Nokia C01 Plus Iris HMD v5,40,"3,499",365,"18,099",0.155000000,,0.193325598
MK +Phone Samsung A23 4/64 CSTR 1 Promo,120,"3,499",440,"56,299",0.154700000,,0.062150305
MK +Phone Samsung A02 2GB/32GB v4,60,999,365,"22,899",0.154400000,,0.043626359
MK Phone Nokia G21 4/64 HMD v14,85,"5,699",365,"36,724",0.154000000,,0.15518462
MK +Phone Nokia C30 2/32 v12,65,"2,199",430,"30,149",0.153400000,,0.072937743
MK Phone Samsung A03 Core 2/32 v18 HRA,55,"3,499",365,"23,574",0.153100000,,0.148426232
MK Phone Samsung A03 3/32 v8,70,"4,999",365,"30,549",0.153100000,,0.163638744
MK +Phone Samsung A13 4/64 CSTR1,95,"2,499",400,"40,499",0.152700000,,0.061705227
MK +Phone Nokia G50 4/128 CSTR 1,125,"4,299",440,"59,299",0.152400000,,0.072497007
MK +Phone Nokia G10 3/32 LDR v11,60,"1,499",400,"25,499",0.152200000,,0.058786619
MK Phone Nokia C21 2/32 HMD v6,60,"4,299",365,"26,199",0.152100000,,0.164090232
MK Phone Samsung A03 Core 2/32 v17 HRA,50,"5,324",365,"23,574",0.151200000,,0.225842029
MK +Phone Samsung A02 3/64 Saf-Data v5,55,999,400,"22,999",0.150900000,,0.043436671
MK Phone Samsung A03 3/32 v7,60,"3,499",365,"25,399",0.150200000,,0.137761329
MK +Phone Samsung A12 v10,70,"1,499",400,"29,499",0.150100000,,0.050815282
MK Phone Samsung A13 4/64 v10,100,"7,499",365,"43,999",0.150100000,,0.170435692
MK +Phone Nokia C21 Plus 3/32 v5,70,"2,499",405,"30,849",0.150000000,,0.081007488
MK Phone Samsung A13 4/64 v11 Promo,100,"6,999",365,"43,499",0.149500000,,0.160900251
MK Phone Nokia C01 Plus Iris v1,40,"2,499",365,"17,099",0.149500000,,0.146148898
MK Phone Samsung A02 2/32 Saf-Data v1,50,"3,499",365,"21,749",0.147900000,,0.16088096
MK Phone Samsung A03 Core 2/32 v15,55,"3,499",365,"23,574",0.147500000,,0.148426232
MK Phone Samsung A13 4/64 v11 ST Pilot,90,"5,499",365,"38,349",0.147500000,,0.14339357
MK +Phone Samsung A23 4/64 CSTR 2 Promo,110,"7,999",440,"56,399",0.147400000,,0.141828756
MK +Phone Samsung A03 Core 2/32 v15,55,"1,499",440,"25,699",0.147100000,,0.058329118
MK Phone Nokia 3.4 (4+64GB) Demo v3,55,999,420,"24,099",0.147000000,,0.041454002
MK Phone Samsung A13 4/64 v7,90,"5,499",365,"38,349",0.147000000,,0.14339357
MK Phone Nokia C21 2/32 v11 HRA,50,"3,399",365,"21,649",0.146800000,,0.157004942
MK Phone Samsung A03S 3/32 v1,55,"3,999",365,"24,074",0.146600000,,0.166112819
MK Phone Samsung A03 Core 2/32 v19 DS HRA,55,"3,499",365,"23,574",0.146500000,,0.148426232
MK Phone Nokia C21 2/32 v10,50,"3,399",365,"21,649",0.146300000,,0.157004942
MK +Phone Nokia G21 4/64 CSTR 2 v3,70,"2,999",430,"33,099",0.146100000,,0.090606967
MK Phone Nokia C21 Plus 3/32 HMD v12,60,"3,999",365,"25,899",0.146000000,,0.154407506
MK Phone Samsung A03 Single v3,40,"2,499",365,"17,099",0.145900000,,0.146148898
MK Phone Samsung A22 4/64 v1,85,"5,999",365,"37,024",0.145700000,,0.162030035
MK +Phone Samsung A13 4/64  CSTR 1 Promo,100,"3,499",400,"43,499",0.145700000,,0.080438631
MK +Phone Nokia G20 4/64 v6,65,"1,499",440,"30,099",0.145600000,,0.049802319
MK Phone Samsung A02 3/64 Saf-Data v1,55,"3,999",365,"24,074",0.145500000,,0.166112819
MK Phone Samsung A03 Core 2/32 v10,60,"3,999",365,"25,899",0.145400000,,0.154407506
MK +Phone Samsung A03 Core 2/32 v14,55,"1,499",440,"25,699",0.145300000,,0.058329118
MK Phone Nokia C21 2/32 v9,60,"4,299",365,"26,199",0.145200000,,0.164090232
MK Phone Samsung A02 3GB/64GB Demo v7,50,999,345,"18,249",0.145100000,,0.054742726
MK Phone Nokia C30 2/32 HMD v2,60,"2,999",365,"24,899",0.144400000,,0.120446604
MK Phone Samsung A03 Core 2/32 v16 ST Pilot,55,"3,499",365,"23,574",0.144100000,,0.148426232
MK +Phone Samsung A02 3/64 Saf-Data v4,60,999,365,"22,899",0.144000000,,0.043626359
MK +Phone Samsung A12 4/64 Saf-Data v15,65,"1,499",440,"30,099",0.143800000,,0.049802319
MK Phone Nokia G50 4/128 HMD v4,105,"7,999",365,"46,324",0.143700000,,0.172675071
MK +Phone Samsung A03S 3/32 v7,60,"1,499",380,"24,299",0.143200000,,0.061689781
MK Phone Samsung A23 4/64 v10,130,"9,499",365,"56,949",0.143100000,,0.166798363
MK Phone Nokia 1.4 Demo v8,40,999,340,"14,599",0.142700000,,0.068429344
MK +Phone Nokia 1.4  v3,50,499,365,"18,749",0.142500000,,0.026614753
MK Phone Samsung A03S 3/32 F&F v2,55,"3,999",365,"24,074",0.142500000,,0.166112819
MK Phone Nokia C20 2/16 HMD v3,45,"2,999",365,"19,424",0.142200000,,0.154396623
MK Phone Samsung A03 Core 2/32 v18 DS,65,"3,999",365,"27,724",0.142200000,,0.144243255
MK +Phone Samsung A02 3GB/64GB v4,55,999,400,"22,999",0.141800000,,0.043436671
MK Phone Samsung A03 Core 2/32 v13,60,"3,999",365,"25,899",0.141700000,,0.154407506
MK Phone Samsung A11 Staff v2,50,"2,999",320,"18,999",0.141500000,,0.157850413
MK Phone Samsung A12S v2,65,"4,999",365,"28,724",0.141400000,,0.17403565
MK +Phone Nokia C30 2/32 v3,65,"1,499",365,"25,224",0.141000000,,0.059427529
MK Phone Nokia C21 2/32 Staff v3,50,"1,999",365,"20,249",0.140900000,,0.098720924
MK Phone Samsung A03 Core 2/32 Staff v8,45,"1,499",365,"17,924",0.140800000,,0.083630886
MK Phone Nokia C10 1/32 v3,40,"3,299",365,"17,899",0.140700000,,0.184311973
MK Phone Samsung A03 Core 2/32 DS v23 Staff,70,"1,899",365,"27,449",0.140500000,,0.069182848
MK Phone Samsung A13 4/64 v6,90,"7,499",365,"40,349",0.140400000,,0.185853429
MK Phone Nokia C30 2/32 v1,60,"2,999",365,"24,899",0.140100000,,0.120446604
MK Phone Samsung A03 3/32 ST Pilot v14,60,"3,999",365,"25,899",0.139600000,,0.154407506
MK Phone Nokia C31 4/64 v1,70,"4,299",365,"29,849",0.139500000,,0.144024925
MK Phone Nokia G10 3/32 v8,65,"4,999",365,"28,724",0.139300000,,0.17403565
MK Phone Nokia G10 3/32 HMD v13,60,"3,699",365,"25,599",0.139200000,,0.144497832
MK Phone Nokia G50 4/128 HMD v6,100,"8,999",365,"45,499",0.138700000,,0.197784567
MK Phone Nokia 1.4  Saf-Data HMD,45,"3,299",365,"19,724",0.138300000,,0.167258163
MK Phone Nokia G21 4/64 v15,80,"5,599",365,"34,799",0.138100000,,0.160895428
MK +Phone Nokia 5.4 4/128 v6,80,"1,999",420,"35,599",0.138000000,,0.056153263
MK Phone Nokia G21 4/64 v13,85,"5,699",365,"36,724",0.137500000,,0.15518462
MK Phone Nokia G21 4/64 HMD v19,80,"4,999",365,"34,199",0.137400000,,0.146173865
MK Phone Nokia G10 3/32 v12,60,"3,699",365,"25,599",0.136900000,,0.144497832
MK +Phone Samsung A12 v11,65,"1,499",440,"30,099",0.136700000,,0.049802319
MK Phone Samsung A04S 4/64 v2 HRA,85,"4,899",365,"35,924",0.136600000,,0.136371228
MK +Phone Samsung A33 6/128 CSTR 1,160,"5,499",430,"74,299",0.136500000,,0.074011763
MK +Phone Samsung A12 4/64 Saf-Data v14,70,"1,499",400,"29,499",0.135000000,,0.050815282
MK Phone Samsung A23 4/64 v8,130,"9,499",365,"56,949",0.135000000,,0.166798363
MK Phone Nokia G21 4/64 v11,90,"5,999",365,"38,849",0.134500000,,0.154418389
MK +Phone Nokia 5.4 4/128 Saf-Data v10,80,"1,999",420,"35,599",0.133700000,,0.056153263
MK +Phone Nokia G21 4/64 CSTR 2,75,"3,499",440,"36,499",0.133300000,,0.09586564
MK +Phone Nokia 3.4 (4+64GB) v9,60,999,440,"27,399",0.133200000,,0.036461185
MK Phone Samsung A12 Saf-Data v2,70,"4,499",365,"30,049",0.133200000,,0.149722121
MK Phone Nokia G50 4/128 v19 HRA,100,"5,999",365,"42,499",0.132600000,,0.141156263
MK Phone Samsung A03 3/32 v2,55,"3,999",365,"24,074",0.132400000,,0.166112819
MK Phone Samsung A02 2/32 Saf-Data v8,50,"2,999",365,"21,249",0.132400000,,0.141136053
MK +Phone Samsung A22 4/64 v3,80,"2,199",420,"35,799",0.132200000,,0.061426297
MK +Phone Samsung A02 2/32 Saf-Data v6,60,999,365,"22,899",0.132000000,,0.043626359
MK Phone Nokia C30 2/32 v15,65,"4,299",365,"28,024",0.131900000,,0.153404225
MK Phone Nokia C1 Plus v2,35,"2,499",365,"15,274",0.131800000,,0.163611366
MK +Phone Nokia C20 2/16 v4,50,999,380,"19,999",0.131500000,,0.049952498
MK Phone Nokia G10 3/32 v13,60,"3,699",365,"25,599",0.131500000,,0.144497832
MK Phone Samsung A22 4/64 Saf-Data v2,85,"5,999",365,"37,024",0.131100000,,0.162030035
MK Phone Nokia C21 Plus 3/32 v10,65,"4,499",365,"28,224",0.130800000,,0.159403345
MK Phone Samsung A03 3/32 v3,55,"3,999",365,"24,074",0.130800000,,0.166112819
MK +Phone Nokia G21 4/64 CSTR2,80,"4,499",425,"38,499",0.130700000,,0.116860178
MK +Phone Nokia C30 2/32 v4,60,"1,499",400,"25,499",0.130100000,,0.058786619
MK Phone Nokia C21 2/32 v7,60,"4,299",365,"26,199",0.129400000,,0.164090232
MK Phone Nokia C30 2/32 v13,70,"4,699",365,"30,249",0.128900000,,0.155343978
MK Phone Samsung A12 v4,70,"5,499",365,"31,049",0.128200000,,0.177107153
