Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK Phone Nokia C30 2/32 HMD v17 HRA,65,4299,365,28024,0.2463,,0.153404225
MK Phone Nokia G21 4/64 HMD v19 HRA,80,4999,365,34199,0.2428,,0.146173865
MK Phone Nokia G50 4/128 Staff v9,100,5999,365,42499,0.238,,0.141156263
MK +Phone Nokia G21 4/64 CSTR 2 v21 DS,85,3499,410,38349,0.2377,,0.091240971
MK +Phone Samsung A02 2GB/32GB v5,55,999,400,22999,0.2344,,0.043436671
MK Phone Samsung A03 4/64 F&F v2,65,4499,365,28224,0.2342,,0.159403345
MK Phone Nokia 2.4 v2,50,3499,365,21749,0.229,,0.16088096
MK +Phone Nokia G50 4/128 CSTR 2,115,7999,440,58599,0.2262,,0.136504036
MK +Phone Nokia T20 Tablet 4/64 HDR v5,100,5999,460,51999,0.224,,0.115367603
MK +Phone Samsung A03 3/32 v11 Promo,65,1999,420,29299,0.218,,0.068227585
MK Phone Nokia G20 (4/64GB) Staff v5,70,999,360,26199,0.2178,,0.038131226
MK Phone Samsung A02 3GB/64GB Staff v7,50,1299,340,18299,0.2158,,0.070987486
MK Phone Nokia T21 Tablet 4/128 SS v1 F&F,150,11799,365,66549,0.2156,,0.177297931
MK Phone Nokia G10 3/32 Saf HMD v9,65,4999,365,28724,0.2141,,0.17403565
MK Phone Nokia G21 4/64 v17 HRA,80,4999,365,34199,0.2134,,0.146173865
MK Phone Nokia G21 4/64 v16 HRA,80,5599,365,34799,0.2123,,0.160895428
MK +Phone Samsung A02 2/32 Saf-Data v7,55,999,400,22999,0.2083,,0.043436671
MK Phone Samsung A02 3GB/64GB v1,55,3999,365,24074,0.2079,,0.166112819
MK Phone Samsung A03 Core 2/32 v15 HRA,50,5324,365,23574,0.2073,,0.225842029
MK Phone Samsung A03 Core 2/32 v22 DS HRA,70,3499,365,29049,0.2041,,0.120451651
MK Phone Samsung A03S 3/32 v6,65,3999,365,27724,0.2007,,0.144243255
MK +Phone Samsung A03 3/32 v9,65,2499,420,29799,0.1954,,0.083861875
MK Phone Nokia T10 Tablet (4/64) SS v1 F&F,80,5299,365,34499,0.1937,,0.153598655
MK Phone Nokia C20 2/32 F&F v1,45,3299,365,19724,0.1911,,0.167258163
MK Phone Nokia C31 4/64 v3,90,4099,365,36949,0.1881,,0.110936697
MK +Phone Samsung A21 4/64 Saf-Data v13,85,5999,365,37024,0.1873,,0.162030035
MK Phone Nokia C31 4/64 DS v7 ST Pilot,90,4099,365,36949,0.1871,,0.110936697
MK Phone Nokia G50 4/128 HMD v120 HRA,100,5999,365,42499,0.1844,,0.141156263
MK Phone Nokia C30 2/32 v16 HRA,65,4299,365,28024,0.1841,,0.153404225
MK Phone Nokia 1.4 (2+32GB) Staff v9,45,1099,310,15049,0.184,,0.073028108
MK Phone Nokia G50 4/128 HMD v12,135,9499,365,58774,0.1839,,0.161619083
MK +Phone Samsung A03 3/32 v10,60,1499,440,27899,0.1831,,0.053729524
MK +Phone Samsung A02 3GB/64GB v3,60,999,365,22899,0.183,,0.043626359
MK Phone Samsung A24 4/128 F&F v1,150,7899,365,62649,0.1812,,0.126083417
MK Phone Nokia C21 2/32 HMD v11,50,3399,365,21649,0.1807,,0.157004942
MK Phone Nokia C31 4/64 v2 HRA,70,4299,365,29849,0.1793,,0.144024925
MK Phone Samsung A03 Core 2/32 v19 DS,75,3499,365,30874,0.1791,,0.113331606
MK Phone Samsung A10S Saf-Data v1,60,4499,365,26399,0.1783,,0.170423122
MK Phone Nokia C31 4/64 v4,85,3999,365,35024,0.1782,,0.114178849
MK Phone Nokia C01 Plus HMD 1/16 v8,40,2499,365,17099,0.1779,,0.146148898
MK Phone Samsung A21 Saf-Data v1,85,5999,365,37024,0.1767,,0.162030035
MK Phone Samsung A11 Saf-Data v1,60,4499,365,26399,0.1741,,0.170423122
MK +Phone Nokia G50 4/128 CSTR1,120,3499,430,55099,0.1735,,0.063503875
MK Phone Samsung A03 3/32 v10 Promo,70,4499,365,30049,0.1718,,0.149722121
MK Phone Samsung A12 Saf-Data 6-M v1,130,4499,180,27899,0.1716,,0.16126026
MK +Phone Nokia C21 2/32 v9,60,1499,410,26099,0.1709,,0.057435151
MK Phone Samsung A03 Core 2/32 v20 DS HRA,65,3999,365,27724,0.1706,,0.144243255
MK Phone Nokia G10 3/32 F&F v1,55,3999,365,24074,0.1703,,0.166112819
MK +Phone Nokia 1.4 v4,50,999,420,21999,0.1702,,0.045411155
MK Phone Nokia G20 4/64 Demo v2,65,999,360,24399,0.1698,,0.040944301
MK Phone Samsung A21S STAFF v3,70,2999,365,28549,0.1694,,0.105047462
MK Phone Samsung A13 4/64 v9,100,7499,365,43999,0.1693,,0.170435692
MK +Phone Nokia C21 2/32 v8,65,1999,380,26699,0.1691,,0.074871718
MK Phone Nokia 3.4 (4+64GB) v4,65,4999,365,28724,0.1688,,0.17403565
MK Phone Samsung A03 3/32 v14 HRA,60,3999,365,25899,0.1683,,0.154407506
MK +Phone Samsung A22 4/64 Saf-Data v7,85,5999,365,37024,0.167,,0.162030035
MK Phone Samsung A11 Staff v3,50,2999,320,18999,0.167,,0.157850413
MK +Phone Samsung A04S 4/64 CSTR1 v1,80,2999,400,34999,0.0954,,0.085688163
MK Phone Nokia C21 Plus 3/32 v12 HRA,60,3999,365,25899,0.1659,,0.154407506
MK Phone Nokia C01 Plus Iris HMD,40,2499,365,17099,0.1654,,0.146148898
MK Phone Nokia C1 Plus Saf-Data v1,35,2499,365,15274,0.1651,,0.163611366
MK Phone Samsung A02 3/64 Saf-Data v9,55,3499,365,23574,0.1649,,0.148426232
MK Phone Nokia G50 4/128 v10,140,9499,365,60599,0.1648,,0.156751762
MK Phone Nokia 3.4 (4+64GB) Staff v12,60,1399,355,22699,0.1643,,0.061632671
MK Phone Samsung A03 Core 2/32 v17 ST Pilot,70,3499,365,29049,0.164,,0.120451651
MK Phone Nokia C01 Plus 1/16 v7,40,2499,365,17099,0.1637,,0.146148898
MK Phone Nokia C31 4/64 v6 HMD,90,4099,365,36949,0.1627,,0.110936697
MK Phone Samsung A03 4/64 v3 DS,85,4799,365,35824,0.1618,,0.133960473
MK Phone Samsung A03 3/32 Staff v4,55,1999,365,22074,0.1616,,0.090559029
MK Phone Nokia G10 3/32 v2,55,3999,365,24074,0.1611,,0.166112819
MK Phone Samsung A02 3/64 Saf-Data 6-M v1,100,3499,180,21499,0.16,,0.162751756
MK Phone Samsung A13 4/64 v12,95,5999,365,40674,0.1591,,0.147489797
MK Phone Nokia C22 2/64 v1 F&F,65,2799,365,26524,0.1586,,0.10552707
MK Phone Nokia C01 Plus 1/16 v9,40,2499,365,17099,0.1586,,0.146148898
MK Phone Samsung A04S 4/64 DS v3 HRA,95,4899,365,39574,0.1579,,0.1237934
MK Phone Nokia C01 Plus 1/16 HMD v2 ,40,3299,365,17899,0.1578,,0.184311973
MK Phone Samsung A03S 3/32 Staff v3,55,1499,365,21574,0.1578,,0.069481784
MK Phone Samsung A03S 3/32 v5,65,3999,365,27724,0.157,,0.144243255
MK Phone Nokia G11 3/64 Plus F&F v1,65,4999,365,28724,0.1567,,0.17403565
MK Phone Samsung A03 3/32 v12,65,4399,365,28124,0.1566,,0.15641445
MK +Phone Samsung A03 Core 2/32 v13,60,1499,400,25499,0.1565,,0.058786619
MK Phone Samsung A03 Saf-Data v1,40,2499,365,17099,0.1564,,0.146148898
MK Phone Samsung A03 3/32 v9,70,4999,365,30549,0.156,,0.163638744
MK Phone Nokia G21 4/64 v19,80,4999,365,34199,0.1554,,0.146173865
MK Phone Samsung A03 Core 2/32 v14 ST Pilot ,50,3999,365,22249,0.1552,,0.179738415
MK Phone Nokia C01 Plus Iris HMD v5,40,3499,365,18099,0.155,,0.193325598
MK +Phone Samsung A23 4/64 CSTR 1 Promo,120,3499,440,56299,0.1547,,0.062150305
MK +Phone Samsung A02 2GB/32GB v4,60,999,365,22899,0.1544,,0.043626359
MK Phone Nokia G21 4/64 HMD v14,85,5699,365,36724,0.154,,0.15518462
MK +Phone Nokia C30 2/32 v12,65,2199,430,30149,0.1534,,0.072937743
MK Phone Samsung A03 Core 2/32 v18 HRA,55,3499,365,23574,0.1531,,0.148426232
MK Phone Samsung A03 3/32 v8,70,4999,365,30549,0.1531,,0.163638744
MK +Phone Samsung A13 4/64 CSTR1,95,2499,400,40499,0.1527,,0.061705227
MK +Phone Nokia G50 4/128 CSTR 1,125,4299,440,59299,0.1524,,0.072497007
MK +Phone Nokia G10 3/32 LDR v11,60,1499,400,25499,0.1522,,0.058786619
MK Phone Nokia C21 2/32 HMD v6,60,4299,365,26199,0.1521,,0.164090232
MK Phone Samsung A03 Core 2/32 v17 HRA,50,5324,365,23574,0.1512,,0.225842029
MK +Phone Samsung A02 3/64 Saf-Data v5,55,999,400,22999,0.1509,,0.043436671
MK Phone Samsung A03 3/32 v7,60,3499,365,25399,0.1502,,0.137761329
MK +Phone Samsung A12 v10,70,1499,400,29499,0.1501,,0.050815282
MK Phone Samsung A13 4/64 v10,100,7499,365,43999,0.1501,,0.170435692
MK +Phone Nokia C21 Plus 3/32 v5,70,2499,405,30849,0.15,,0.081007488
MK Phone Samsung A13 4/64 v11 Promo,100,6999,365,43499,0.1495,,0.160900251
MK Phone Nokia C01 Plus Iris v1,40,2499,365,17099,0.1495,,0.146148898
MK Phone Samsung A02 2/32 Saf-Data v1,50,3499,365,21749,0.1479,,0.16088096
MK Phone Samsung A03 Core 2/32 v15,55,3499,365,23574,0.1475,,0.148426232
MK Phone Samsung A13 4/64 v11 ST Pilot,90,5499,365,38349,0.1475,,0.14339357
MK +Phone Samsung A23 4/64 CSTR 2 Promo,110,7999,440,56399,0.1474,,0.141828756
MK +Phone Samsung A03 Core 2/32 v15,55,1499,440,25699,0.1471,,0.058329118
MK Phone Nokia 3.4 (4+64GB) Demo v3,55,999,420,24099,0.147,,0.041454002
MK Phone Samsung A13 4/64 v7,90,5499,365,38349,0.147,,0.14339357
MK Phone Nokia C21 2/32 v11 HRA,50,3399,365,21649,0.1468,,0.157004942
MK Phone Samsung A03S 3/32 v1,55,3999,365,24074,0.1466,,0.166112819
MK Phone Samsung A03 Core 2/32 v19 DS HRA,55,3499,365,23574,0.1465,,0.148426232
MK Phone Nokia C21 2/32 v10,50,3399,365,21649,0.1463,,0.157004942
MK +Phone Nokia G21 4/64 CSTR 2 v3,70,2999,430,33099,0.1461,,0.090606967
MK Phone Nokia C21 Plus 3/32 HMD v12,60,3999,365,25899,0.146,,0.154407506
MK Phone Samsung A03 Single v3,40,2499,365,17099,0.1459,,0.146148898
MK Phone Samsung A22 4/64 v1,85,5999,365,37024,0.1457,,0.162030035
MK +Phone Samsung A13 4/64  CSTR 1 Promo,100,3499,400,43499,0.1457,,0.080438631
MK +Phone Nokia G20 4/64 v6,65,1499,440,30099,0.1456,,0.049802319
MK Phone Samsung A02 3/64 Saf-Data v1,55,3999,365,24074,0.1455,,0.166112819
MK Phone Samsung A03 Core 2/32 v10,60,3999,365,25899,0.1454,,0.154407506
MK +Phone Samsung A03 Core 2/32 v14,55,1499,440,25699,0.1453,,0.058329118
MK Phone Nokia C21 2/32 v9,60,4299,365,26199,0.1452,,0.164090232
MK Phone Samsung A02 3GB/64GB Demo v7,50,999,345,18249,0.1451,,0.054742726
MK Phone Nokia C30 2/32 HMD v2,60,2999,365,24899,0.1444,,0.120446604
MK Phone Samsung A03 Core 2/32 v16 ST Pilot,55,3499,365,23574,0.1441,,0.148426232
MK +Phone Samsung A02 3/64 Saf-Data v4,60,999,365,22899,0.144,,0.043626359
MK +Phone Samsung A12 4/64 Saf-Data v15,65,1499,440,30099,0.1438,,0.049802319
MK Phone Nokia G50 4/128 HMD v4,105,7999,365,46324,0.1437,,0.172675071
MK +Phone Samsung A03S 3/32 v7,60,1499,380,24299,0.1432,,0.061689781
MK Phone Samsung A23 4/64 v10,130,9499,365,56949,0.1431,,0.166798363
MK Phone Nokia 1.4 Demo v8,40,999,340,14599,0.1427,,0.068429344
MK +Phone Nokia 1.4  v3,50,499,365,18749,0.1425,,0.026614753
MK Phone Samsung A03S 3/32 F&F v2,55,3999,365,24074,0.1425,,0.166112819
MK Phone Nokia C20 2/16 HMD v3,45,2999,365,19424,0.1422,,0.154396623
MK Phone Samsung A03 Core 2/32 v18 DS,65,3999,365,27724,0.1422,,0.144243255
MK +Phone Samsung A02 3GB/64GB v4,55,999,400,22999,0.1418,,0.043436671
MK Phone Samsung A03 Core 2/32 v13,60,3999,365,25899,0.1417,,0.154407506
MK Phone Samsung A11 Staff v2,50,2999,320,18999,0.1415,,0.157850413
MK Phone Samsung A12S v2,65,4999,365,28724,0.1414,,0.17403565
MK +Phone Nokia C30 2/32 v3,65,1499,365,25224,0.141,,0.059427529
MK Phone Nokia C21 2/32 Staff v3,50,1999,365,20249,0.1409,,0.098720924
MK Phone Samsung A03 Core 2/32 Staff v8,45,1499,365,17924,0.1408,,0.083630886
MK Phone Nokia C10 1/32 v3,40,3299,365,17899,0.1407,,0.184311973
MK Phone Samsung A03 Core 2/32 DS v23 Staff,70,1899,365,27449,0.1405,,0.069182848
MK Phone Samsung A13 4/64 v6,90,7499,365,40349,0.1404,,0.185853429
MK Phone Nokia C30 2/32 v1,60,2999,365,24899,0.1401,,0.120446604
MK Phone Samsung A03 3/32 ST Pilot v14,60,3999,365,25899,0.1396,,0.154407506
MK Phone Nokia C31 4/64 v1,70,4299,365,29849,0.1395,,0.144024925
MK Phone Nokia G10 3/32 v8,65,4999,365,28724,0.1393,,0.17403565
MK Phone Nokia G10 3/32 HMD v13,60,3699,365,25599,0.1392,,0.144497832
MK Phone Nokia G50 4/128 HMD v6,100,8999,365,45499,0.1387,,0.197784567
MK Phone Nokia 1.4  Saf-Data HMD,45,3299,365,19724,0.1383,,0.167258163
MK Phone Nokia G21 4/64 v15,80,5599,365,34799,0.1381,,0.160895428
MK +Phone Nokia 5.4 4/128 v6,80,1999,420,35599,0.138,,0.056153263
MK Phone Nokia G21 4/64 v13,85,5699,365,36724,0.1375,,0.15518462
MK Phone Nokia G21 4/64 HMD v19,80,4999,365,34199,0.1374,,0.146173865
MK Phone Nokia G10 3/32 v12,60,3699,365,25599,0.1369,,0.144497832
MK +Phone Samsung A12 v11,65,1499,440,30099,0.1367,,0.049802319
MK Phone Samsung A04S 4/64 v2 HRA,85,4899,365,35924,0.1366,,0.136371228
MK +Phone Samsung A33 6/128 CSTR 1,160,5499,430,74299,0.1365,,0.074011763
MK +Phone Samsung A12 4/64 Saf-Data v14,70,1499,400,29499,0.135,,0.050815282
MK Phone Samsung A23 4/64 v8,130,9499,365,56949,0.135,,0.166798363
MK Phone Nokia G21 4/64 v11,90,5999,365,38849,0.1345,,0.154418389
MK +Phone Nokia 5.4 4/128 Saf-Data v10,80,1999,420,35599,0.1337,,0.056153263
MK +Phone Nokia G21 4/64 CSTR 2,75,3499,440,36499,0.1333,,0.09586564
MK +Phone Nokia 3.4 (4+64GB) v9,60,999,440,27399,0.1332,,0.036461185
MK Phone Samsung A12 Saf-Data v2,70,4499,365,30049,0.1332,,0.149722121
MK Phone Nokia G50 4/128 v19 HRA,100,5999,365,42499,0.1326,,0.141156263
MK Phone Samsung A03 3/32 v2,55,3999,365,24074,0.1324,,0.166112819
MK Phone Samsung A02 2/32 Saf-Data v8,50,2999,365,21249,0.1324,,0.141136053
MK +Phone Samsung A22 4/64 v3,80,2199,420,35799,0.1322,,0.061426297
MK +Phone Samsung A02 2/32 Saf-Data v6,60,999,365,22899,0.132,,0.043626359
MK Phone Nokia C30 2/32 v15,65,4299,365,28024,0.1319,,0.153404225
MK Phone Nokia C1 Plus v2,35,2499,365,15274,0.1318,,0.163611366
MK +Phone Nokia C20 2/16 v4,50,999,380,19999,0.1315,,0.049952498
MK Phone Nokia G10 3/32 v13,60,3699,365,25599,0.1315,,0.144497832
MK Phone Samsung A22 4/64 Saf-Data v2,85,5999,365,37024,0.1311,,0.162030035
MK Phone Nokia C21 Plus 3/32 v10,65,4499,365,28224,0.1308,,0.159403345
MK Phone Samsung A03 3/32 v3,55,3999,365,24074,0.1308,,0.166112819
MK +Phone Nokia G21 4/64 CSTR2,80,4499,425,38499,0.1307,,0.116860178
MK +Phone Nokia C30 2/32 v4,60,1499,400,25499,0.1301,,0.058786619
MK Phone Nokia C21 2/32 v7,60,4299,365,26199,0.1294,,0.164090232
MK Phone Nokia C30 2/32 v13,70,4699,365,30249,0.1289,,0.155343978
MK Phone Samsung A12 v4,70,5499,365,31049,0.1282,,0.177107153
MK Phone Samsung A03S 3/32 v4,65,4999,365,28724,0.1279,,0.17403565
MK +Phone Nokia C30 2/32 v11,70,2999,425,32749,0.1278,,0.091575315
MK +Phone Nokia C21 2/32 v4,55,1499,365,21574,0.1273,,0.069481784
MK +Phone Samsung A13 4/64 v4,70,2499,440,33299,0.1261,,0.075047299
MK Phone Samsung A22 4/64 Staff v7,80,2999,350,30999,0.126,,0.096745056
MK +Phone Samsung A04S 4/64 CSTR1 v3 DS,90,2499,410,39399,0.1257,,0.063428006
MK Phone Samsung A12 Saf-Data v1,70,4999,365,30549,0.1256,,0.163638744
MK Phone Nokia C30 2/32 v12,70,4999,365,30549,0.1255,,0.163638744
MK Phone Nokia C01 Plus Iris 2/16 v8,40,3299,365,17899,0.1254,,0.184311973
MK +Phone Nokia G10 3/32 HDR v10,65,1499,365,25224,0.1254,,0.059427529
MK Phone Nokia 5.4 4/128 Saf-Data HMD,85,5499,365,36524,0.1253,,0.150558537
MK Phone Nokia 5.4 4/128 Demo v5,75,3499,365,30874,0.1249,,0.113331606
MK Phone Samsung A12 v9,70,4999,365,30549,0.1246,,0.163638744
MK Phone Samsung A03 Saf-Data 6-M v1,75,2499,180,15999,0.1245,,0.156197262
MK +Phone Samsung A22 4/64 Saf-Data v6,80,2199,420,35799,0.1245,,0.061426297
MK Phone Nokia 1.4  Saf-Data v9,50,3499,365,21749,0.124,,0.16088096
MK Phone Nokia G50 4/128 v15,135,9499,365,58774,0.1238,,0.161619083
"MK Phone Samsung A03 Core 2/32 v15 ST Pilot	",55,3999,365,24074,0.1238,,0.166112819
MK Phone Nokia C20 2/16 v2,45,2999,365,19424,0.1236,,0.154396623
MK Phone Nokia C20 2/16 HMD v5,45,3299,365,19724,0.1233,,0.167258163
MK Phone Nokia C30 2/32 v10,75,5499,365,32874,0.1217,,0.16727505
MK Phone Nokia 1.4 Saf-Data HMD v2,50,3499,365,21749,0.1217,,0.16088096
MK Phone Samsung A03 Core 2/32 v4,50,3299,365,21549,0.1214,,0.153092951
MK +Phone Samsung A13 4/64  CSTR 2 Promo,95,5499,400,43499,0.1212,,0.126416699
MK Phone Samsung A03 Core 2/32 v12,50,3499,365,21749,0.121,,0.16088096
MK Phone Nokia G21 4/64 v10,90,5999,365,38849,0.1209,,0.154418389
MK Phone Nokia C20 2/16 v7,45,3299,365,19724,0.1209,,0.167258163
MK +Phone Samsung A03 Core 2/32 v3,50,999,365,19249,0.1207,,0.0518988
MK +Phone Nokia G20 4/64 v5,70,1499,440,32299,0.1207,,0.046410106
MK +Phone Nokia 3.4 (4+64GB) v8,65,999,400,26999,0.1206,,0.03700137
MK Phone Nokia C30 2/32 Staff v6,50,1999,365,20249,0.1205,,0.098720924
