Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Deposit to Price Ratio
MK +Phone Samsung A24 4/128 v3 CG,150,3999,390,62499,0.137903748,0.063985024
MK Phone Nokia C22 2/64 Insurance Pilot v2,65,3199,365,26924,0.139118714,0.118815926
MK Phone Nokia C22 2/64 v1,65,3199,365,26924,0.221640722,0.118815926
MK Phone Nokia C22 2/64 v1 HRA,65,3199,365,26924,0.20412073,0.118815926
MK Phone Nokia C22 2/64 v2,65,3199,365,26924,0.160891375,0.118815926
MK Phone Nokia C22 2/64 v2 HRA,65,3199,365,26924,0.186124625,0.118815926
MK Phone Nokia C31 4/64 Insurance Pilot v2,80,3699,365,32899,0.172469818,0.112435028
MK Phone Nokia C31 4/64 Insurance Pilot v4,80,3699,365,32899,0.153628211,0.112435028
MK Phone Nokia C31 4/64 v1,70,4299,365,29849,0.063455502,0.144024925
MK Phone Nokia C31 4/64 v2 HRA,70,4299,365,29849,0.164882138,0.144024925
MK Phone Nokia C31 4/64 v5,80,3499,365,32699,0.096513681,0.10700633
MK Phone Nokia C31 4/64 v5 HRA,80,3499,365,32699,0.185419848,0.10700633
MK Phone Nokia C31 4/64 v6,80,3699,365,32899,0.163560409,0.112435028
MK Phone Nokia C31 4/64 v6 HRA,80,3699,365,32899,0.209442827,0.112435028
MK Phone Nokia C31 4/64 v8,80,3699,365,32899,0.171357103,0.112435028
MK Phone Nokia C31 4/64 v8 HRA,80,3699,365,32899,0.210200296,0.112435028
MK Phone Nokia C32 4/128 PLAK Insurance Pilot v1,85,3899,365,34924,0.115401978,0.111642424
MK Phone Nokia C32 4/128 PLAK v1,85,3899,365,34924,0.113943278,0.111642424
MK Phone Nokia G21 4/64 HMD v20,95,4899,365,39574,0.071176758,0.1237934
MK Phone Nokia G21 4/64 HMD v20 HRA,95,4899,365,39574,0.411534485,0.1237934
MK Phone Nokia G21 4/64 Insurance Pilot v1,95,4899,365,39574,0.167353257,0.1237934
MK Phone Nokia G21 4/64 v18 HRA,95,4899,365,39574,0.231966395,0.1237934
MK Phone Nokia G21 4/64 v20,95,4899,365,39574,0.184289064,0.1237934
MK Phone Nokia T10 Tablet 4/64 v1,100,6799,365,43299,0.257036776,0.157024412
MK Phone Nokia T10 Tablet 4/64 v2,100,6099,365,42599,0.25287276,0.143172375
MK Phone Samsung A03 Core 2/32 28 DS,71,3399,365,29314,0.158614185,0.115951423
MK Phone Samsung A03 Core 2/32 Insurance Pilot v2,65,3199,365,26924,0.244897418,0.118815926
MK Phone Samsung A03 Core 2/32 Insurance Pilot v3,71,3699,365,29614,0.143054666,0.124907139
MK Phone Samsung A03 Core 2/32 Insurance Pilot v4,71,3399,365,29314,0.149303333,0.115951423
MK Phone Samsung A03 Core 2/32 v1 FE Pilot,71,3399,365,29314,0.146169129,0.115951423
MK Phone Samsung A03 Core 2/32 v19 DS,75,3499,365,30874,0.089510811,0.113331606
MK Phone Samsung A03 Core 2/32 v26 DS,65,3199,365,26924,0.195387789,0.118815926
MK Phone Samsung A03 Core 2/32 v26 DS HRA,65,3199,365,26924,0.224051575,0.118815926
MK Phone Samsung A03 Core 2/32 v27 DS,71,3699,365,29614,0.163601038,0.124907139
MK Phone Samsung A03 Core 2/32 v27 DS HRA,71,3699,365,29614,0.09252579,0.124907139
MK Phone Samsung A03 Core 2/32 v28 DS HRA,71,3399,365,29314,0.168616452,0.115951423
MK Phone Samsung A04 4/64 ST Pilot v1,90,4999,365,37849,0.119917596,0.132077466
MK Phone Samsung A04e 3/32 v1 FE Pilot,80,4699,365,33899,0.139183664,0.138617658
MK Phone Samsung A04e 3/32 v1 ST Pilot,80,4699,365,33899,0.179549413,0.138617658
MK Phone Samsung A04e 3/64 v1 ST Pilot,70,4199,365,29749,0.039843937,0.141147602
MK Phone Samsung A04e 3/64 v2 ST Pilot,85,4899,365,35924,0.141586946,0.136371228
MK Phone Samsung A04S 4/64 DS v10 HRA,105,4499,365,42824,0.167852967,0.105057911
MK Phone Samsung A04S 4/64 DS v5,85,4199,365,35224,0.06473446,0.119208494
MK Phone Samsung A04S 4/64 DS v6 HRA,85,4199,365,35224,0.074850857,0.119208494
MK Phone Samsung A04S 4/64 DS v7 HRA,105,4999,365,43324,0.474743522,0.115386391
MK Phone Samsung A04S 4/64 DS v8,105,4999,365,43324,0.149258979,0.115386391
MK Phone Samsung A04S 4/64 DS v9,105,4499,365,42824,0.168128447,0.105057911
MK Phone Samsung A04S 4/64 FE Pilot v1,105,4499,365,42824,0.13662134,0.105057911
MK Phone Samsung A04S 4/64 Insurance Pilot v2,105,4999,365,43324,0.242909588,0.115386391
MK Phone Samsung A04S 4/64 Insurance Pilot v4,105,4499,365,42824,0.154187409,0.105057911
MK Phone Samsung A13 4/64 v13,90,5599,365,38449,0.143966108,0.145621473
MK Phone Samsung A14 4/128 Insurance Pilot v6,130,5599,365,53049,0.187276377,0.105543931
MK Phone Samsung A14 4/128 v1 ST Pilot,135,6299,365,55574,0.06951872,0.11334437
MK Phone Samsung A14 4/128 v2 ST Pilot,130,5599,365,53049,0.160702208,0.105543931
MK Phone Samsung A14 4/128 v4,130,5599,365,53049,0.193256904,0.105543931
MK Phone Samsung A14 4/128 v5 HRA,130,5599,365,53049,0.260646257,0.105543931
MK Phone Samsung A14 4/64 v2 FE Pilot,115,5599,365,47574,0.153480577,0.117690335
MK Phone Samsung A23 4/128  ST Pilot v2,120,9699,365,53499,0.132079564,0.181293108
MK Phone Samsung A23 4/64 v13,100,6999,365,43499,0.190019074,0.160900251
MK Phone Samsung A23 4/64 v15 DS,100,6999,365,43499,0.258734714,0.160900251
MK Phone Samsung A23 4/64 v16 DS HRA,100,6999,365,43499,0.123647207,0.160900251
MK Phone Samsung A24 4/128 Insurance Pilot v7,150,7699,365,62449,0.106589107,0.1232846
MK Phone Samsung A24 4/128 v5 HRA,150,7999,365,62749,0.108307936,0.127476135
MK Phone Samsung A24 4/128 v6,150,7699,365,62449,0.135995987,0.1232846
