Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK Phone Samsung Galaxy A01 v2,50,"3,999",365,"22,249",0,1,0.179738415
MK Phone Samsung A53 6/128 v4 HRA,170,"13,999",365,"76,049",0.024541716,0.939,0.184078686
MK Phone Samsung A53 6/128 v3,170,"13,999",365,"76,049",0.083594218,0.956,0.184078686
MK Phone Samsung A53 6/128 v2,170,"13,999",365,"76,049",0.086945617,0.966,0.184078686
MK Phone Samsung A33 6/128 v9,190,"15,999",273,"67,869",0.017480845,1,0.235733546
MK Phone Samsung A33 6/128 v8,170,"10,999",365,"73,049",0.116519425,0.927,0.150570165
MK Phone Samsung A33 6/128 v6,170,"10,999",365,"73,049",0.124524106,0.901,0.150570165
MK Phone Samsung A33 6/128 v4,130,"9,499",365,"56,949",0.061240565,0.972,0.166798363
MK Phone Samsung A24 4/128 v6,150,"7,699",365,"62,449",0.11897375,0.997,0.1232846
MK Phone Samsung A24 4/128 v5 HRA,150,"7,999",365,"62,749",0.094016004,1,0.127476135
MK Phone Samsung A24 4/128 v2 HRA,135,"7,299",365,"56,574",0.139105266,0.957,0.129016863
MK Phone Samsung A24 4/128 v1,135,"7,299",365,"56,574",0.129147785,0.951,0.129016863
MK Phone Samsung A24 4/128 Insurance Pilot v7,150,"7,699",365,"62,449",0.109198352,1,0.1232846
MK Phone Samsung A24 4/128 Insurance Pilot v1,135,"7,299",365,"56,574",0.099762962,0.975,0.129016863
MK Phone Samsung A23 4/64 v9 Promo,130,"8,999",365,"56,449",0.122927209,0.921,0.159418236
MK Phone Samsung A23 4/64 v9,140,"13,999",273,"52,219",0.105937729,0.995,0.268082499
MK Phone Samsung A23 4/64 v8,130,"9,499",365,"56,949",0.137750614,0.919,0.166798363
MK Phone Samsung A23 4/64 v6,100,"8,299",365,"44,799",0.105506652,0.945,0.185249671
MK Phone Samsung A23 4/64 v2,100,"7,499",365,"43,999",0.104891329,0.941,0.170435692
MK Phone Samsung A23 4/64 v16 DS HRA,100,"6,999",365,"43,499",0.115559275,0.953,0.160900251
MK Phone Samsung A23 4/64 v15 DS,100,"6,999",365,"43,499",0.103896894,0.956,0.160900251
MK Phone Samsung A23 4/64 v14 HRA,100,"6,999",365,"43,499",0.110526129,0.945,0.160900251
MK Phone Samsung A23 4/64 v13,100,"6,999",365,"43,499",0.104900888,0.948,0.160900251
MK Phone Samsung A23 4/64 v12,100,"7,499",365,"43,999",0.101796864,0.951,0.170435692
MK Phone Samsung A23 4/64 v11,140,"13,999",273,"52,219",0.002427685,1,0.268082499
MK Phone Samsung A23 4/64 v10,130,"9,499",365,"56,949",0.148799093,0.924,0.166798363
MK Phone Samsung A23 4/128  ST Pilot v2,120,"9,699",365,"53,499",0.103912838,0.958,0.181293108
MK Phone Samsung A22 4/64 v1,85,"5,999",365,"37,024",0.136694606,0.933,0.162030035
MK Phone Samsung A22 4/64 Saf-Data v2,85,"5,999",365,"37,024",0.126206197,0.942,0.162030035
MK Phone Samsung A21S v2,80,"5,499",365,"34,699",0.103938766,0.948,0.15847719
MK Phone Samsung A21S single v5,85,"5,999",365,"37,024",0.08965474,0.966,0.162030035
MK Phone Samsung A21S Dual v4,85,"5,999",365,"37,024",0.098363301,0.968,0.162030035
MK Phone Samsung A21S Dual v3,80,"5,499",365,"34,699",0.156079531,0.971,0.15847719
MK Phone Samsung A21 Saf-Data v1,85,"5,999",365,"37,024",0.09556021,0.948,0.162030035
MK Phone Samsung A14 4/128 v2 ST Pilot,130,"5,599",365,"53,049",0.108199212,1,0.105543931
MK Phone Samsung A14 4/128 v1 ST Pilot,135,"6,299",365,"55,574",0.091404375,1,0.11334437
MK Phone Samsung A13 4/64 v9,100,"7,499",365,"43,999",0.172852694,0.89,0.170435692
MK Phone Samsung A13 4/64 v7,90,"5,499",365,"38,349",0.149067148,0.917,0.14339357
MK Phone Samsung A13 4/64 v6,90,"7,499",365,"40,349",0.141294363,0.927,0.185853429
MK Phone Samsung A13 4/64 v2,80,"5,999",365,"35,199",0.111081493,0.951,0.170430978
MK Phone Samsung A13 4/64 v14 HRA,90,"5,599",365,"38,449",0.186195695,0.903,0.145621473
MK Phone Samsung A13 4/64 v13,90,"5,599",365,"38,449",0.154287258,0.917,0.145621473
MK Phone Samsung A13 4/64 v12,95,"5,999",365,"40,674",0.162723236,0.916,0.147489797
MK Phone Samsung A13 4/64 v11 ST Pilot,90,"5,499",365,"38,349",0.14667337,0.937,0.14339357
MK Phone Samsung A13 4/64 v11 Promo,100,"6,999",365,"43,499",0.152420659,0.919,0.160900251
MK Phone Samsung A13 4/64 v10,100,"7,499",365,"43,999",0.154550478,0.909,0.170435692
MK Phone Samsung A12S v2,65,"4,999",365,"28,724",0.101517869,0.961,0.17403565
MK Phone Samsung A12 v9,70,"4,999",365,"30,549",0.12191983,0.955,0.163638744
MK Phone Samsung A12 v4,70,"5,499",365,"31,049",0.110678077,0.961,0.177107153
MK Phone Samsung A12 Saf-Data v2,70,"4,499",365,"30,049",0.136052738,0.94,0.149722121
MK Phone Samsung A12 Saf-Data v1,70,"4,999",365,"30,549",0.126689,0.924,0.163638744
MK Phone Samsung A12 Saf-Data 6-M v1,130,"4,499",180,"27,899",0.138467449,0.869,0.16126026
MK Phone Samsung A11 v3,60,"4,499",365,"26,399",0.101416941,0.963,0.170423122
MK Phone Samsung A11 v1,60,"4,999",365,"26,899",0.23785085,0.984,0.18584334
MK Phone Samsung A11 Saf-Data v1,60,"4,499",365,"26,399",0.12397022,0.935,0.170423122
MK Phone Samsung A11 Dual sim v4,60,"4,499",365,"26,399",0.094628444,0.959,0.170423122
MK Phone Samsung A10S v3,60,"3,499",365,"25,399",0.141963982,0.958,0.137761329
MK Phone Samsung A10S v19,60,"4,499",365,"26,399",0.111488681,0.958,0.170423122
MK Phone Samsung A10S v18,60,"4,999",365,"26,899",0.185871966,0.936,0.18584334
MK Phone Samsung A10S v15,60,"4,499",365,"26,399",0.167408614,0.962,0.170423122
MK Phone Samsung A10S v13,50,"5,999",365,"24,249",0,1,0.247391645
MK Phone Samsung A10S v12,60,"4,499",374,"26,899",0,1,0.167255288
MK Phone Samsung A10S v1 Rev A,60,"1,000",130,"8,800",0.036918182,0.934,0.113636364
MK Phone Samsung A10S Saf-Data v1,60,"4,499",365,"26,399",0.116013548,0.916,0.170423122
MK Phone Samsung A10S Grade B v4,60,"2,499",235,"16,599",0.132578289,0.901,0.150551238
MK Phone Samsung A10S Grade B v2,60,"3,299",225,"16,799",0.17156344,0.948,0.196380737
MK Phone Samsung A10S Grade A v3,60,"2,999",265,"18,899",0.099002879,0.943,0.158685645
MK Phone Samsung A10S Grade A v1,60,"3,799",250,"18,799",0.031226395,0.968,0.202085217
MK Phone Samsung A10S Dual-Sim v16,60,"4,499",365,"26,399",0,0.898,0.170423122
MK Phone Samsung A04S 4/64 v2 HRA,85,"4,899",365,"35,924",0.141835311,0.932,0.136371228
MK Phone Samsung A04S 4/64 v1 HRA,75,"8,549",365,"35,924",0.056632441,0.992,0.237974613
MK Phone Samsung A04S 4/64 v1,85,"4,899",365,"35,924",0.121878834,0.946,0.136371228
MK Phone Samsung A04S 4/64 Insurance Pilot v4,105,"4,499",365,"42,824",0.122644183,0.999,0.105057911
MK Phone Samsung A04S 4/64 Insurance Pilot v2,105,"4,999",365,"43,324",0.155989353,0.97,0.115386391
MK Phone Samsung A04S 4/64 DS v9,105,"4,499",365,"42,824",0.126358728,0.99,0.105057911
MK Phone Samsung A04S 4/64 DS v8,105,"4,999",365,"43,324",0.142396018,0.975,0.115386391
MK Phone Samsung A04S 4/64 DS v7 HRA,105,"4,999",365,"43,324",0.289746624,0.901,0.115386391
MK Phone Samsung A04S 4/64 DS v6 HRA,85,"4,199",365,"35,224",0.142114886,0.942,0.119208494
MK Phone Samsung A04S 4/64 DS v5,85,"4,199",365,"35,224",0.13386709,0.943,0.119208494
MK Phone Samsung A04S 4/64 DS v3 HRA,95,"4,899",365,"39,574",0.163581881,0.911,0.1237934
MK Phone Samsung A04S 4/64 DS v3,95,"4,899",365,"39,574",0.136777392,0.932,0.1237934
MK Phone Samsung A04S 4/64 DS v10 HRA,105,"4,499",365,"42,824",0.117358901,1,0.105057911
MK Phone Samsung A04S 4/64  Insurance Pilot v1,85,"4,199",365,"35,224",0.124417192,0.96,0.119208494
MK Phone Samsung A04S 4/128 ST Pilot v2,100,"5,299",365,"41,799",0.1157719,0.96,0.126773368
MK Phone Samsung A04S 4/128 ST Pilot v1,90,"6,399",365,"39,249",0.099231132,0.957,0.163036001
MK Phone Samsung A04e 3/64 v2 ST Pilot,85,"4,899",365,"35,924",0.125530968,0.979,0.136371228
MK Phone Samsung A04e 3/64 v1 ST Pilot,70,"4,199",365,"29,749",0.150220512,0.933,0.141147602
MK Phone Samsung A04e 3/32 v1 ST Pilot,80,"4,699",365,"33,899",0.099965724,1,0.138617658
MK Phone Samsung A04 4/64 ST Pilot v1,90,"4,999",365,"37,849",0.110894998,1,0.132077466
MK Phone Samsung A03S 3/32 v6,65,"3,999",365,"27,724",0.199760503,0.899,0.144243255
MK Phone Samsung A03S 3/32 v5,65,"3,999",365,"27,724",0.16014322,0.918,0.144243255
MK Phone Samsung A03S 3/32 v4,65,"4,999",365,"28,724",0.129535002,0.94,0.17403565
MK Phone Samsung A03S 3/32 v3,55,"4,499",365,"24,574",0.11525161,0.95,0.183079678
MK Phone Samsung A03S 3/32 v1,55,"3,999",365,"24,074",0.147210363,0.931,0.166112819
MK Phone Samsung A03 v1,40,"2,999",365,"17,599",0.24856668,0.807,0.17040741
MK Phone Samsung A03 Single v3,40,"2,499",365,"17,099",0.131896178,0.944,0.146148898
MK Phone Samsung A03 Saf-Data v1,40,"2,499",365,"17,099",0.152933801,0.924,0.146148898
MK Phone Samsung A03 Saf-Data 6-M v1,75,"2,499",180,"15,999",0.124933826,0.779,0.156197262
MK Phone Samsung A03 Micro-Biz v2,30,"2,200",600,"20,200",0.012887158,0.943,0.108910891
MK Phone Samsung A03 Micro Biz v4,30,0,600,"18,000",0.483421655,0.816,0
MK Phone Samsung A03 Micro Biz v1,30,0,600,"18,000",0.506815825,0.799,0
MK Phone Samsung A03 Dual v4,40,"2,499",365,"17,099",0.125150523,0.946,0.146148898
MK Phone Samsung A03 Data Single v5,40,"2,499",365,"17,099",0.149373152,0.927,0.146148898
MK Phone Samsung A03 Core 2/32 v9,50,"4,299",365,"22,549",0.104646543,0.942,0.19065147
MK Phone Samsung A03 Core 2/32 v5,50,"3,299",365,"21,549",0.122535271,0.924,0.153092951
MK Phone Samsung A03 Core 2/32 v4,50,"3,299",365,"21,549",0.126501572,0.922,0.153092951
MK Phone Samsung A03 Core 2/32 v28 DS HRA,71,"3,399",365,"29,314",0.151532766,0.971,0.115951423
MK Phone Samsung A03 Core 2/32 v27 DS HRA,71,"3,699",365,"29,614",0.134058545,0.976,0.124907139
MK Phone Samsung A03 Core 2/32 v27 DS,71,"3,699",365,"29,614",0.155726614,0.974,0.124907139
MK Phone Samsung A03 Core 2/32 v26 DS HRA,65,"3,199",365,"26,924",0.189653217,0.922,0.118815926
MK Phone Samsung A03 Core 2/32 v26 DS,65,"3,199",365,"26,924",0.167060861,0.924,0.118815926
MK Phone Samsung A03 Core 2/32 v25 DS,65,"2,999",365,"26,724",0.163676605,0.921,0.112221224
MK Phone Samsung A03 Core 2/32 v24 DS HRA,65,"2,999",365,"26,724",0.179107221,0.919,0.112221224
MK Phone Samsung A03 Core 2/32 v22 DS HRA,70,"3,499",365,"29,049",0.1998126,0.884,0.120451651
MK Phone Samsung A03 Core 2/32 v21 DS HRA,75,"3,499",365,"30,874",0.211455543,0.868,0.113331606
MK Phone Samsung A03 Core 2/32 v20 DS HRA,65,"3,999",365,"27,724",0.188197836,0.9,0.144243255
MK Phone Samsung A03 Core 2/32 v20 DS,70,"3,499",365,"29,049",0.171972938,0.897,0.120451651
MK Phone Samsung A03 Core 2/32 v2,50,"2,499",365,"20,749",0.151904025,0.92,0.120439539
MK Phone Samsung A03 Core 2/32 v19 ST Pilot,65,"3,199",365,"26,924",0.166521322,0.936,0.118815926
MK Phone Samsung A03 Core 2/32 v19 DS HRA,55,"3,499",365,"23,574",0.15470176,0.921,0.148426232
MK Phone Samsung A03 Core 2/32 v19 DS,75,"3,499",365,"30,874",0.190125687,0.888,0.113331606
MK Phone Samsung A03 Core 2/32 v18 ST Pilot,65,"2,999",365,"26,724",0.168962929,0.946,0.112221224
MK Phone Samsung A03 Core 2/32 v18 HRA,55,"3,499",365,"23,574",0.168203542,0.917,0.148426232
MK Phone Samsung A03 Core 2/32 v18 DS,65,"3,999",365,"27,724",0.151279995,0.918,0.144243255
MK Phone Samsung A03 Core 2/32 v17 ST Pilot,70,"3,499",365,"29,049",0.14821407,0.943,0.120451651
MK Phone Samsung A03 Core 2/32 v17 HRA,50,"5,324",365,"23,574",0.161799967,0.94,0.225842029
MK Phone Samsung A03 Core 2/32 v17,55,"3,499",365,"23,574",0.136493824,0.932,0.148426232
MK Phone Samsung A03 Core 2/32 v16 ST Pilot,55,"3,499",365,"23,574",0.141091397,0.945,0.148426232
"MK Phone Samsung A03 Core 2/32 v15 ST Pilot	",55,"3,999",365,"24,074",0.124554778,0.942,0.166112819
MK Phone Samsung A03 Core 2/32 v15 HRA,50,"5,324",365,"23,574",0.208436535,0.947,0.225842029
MK Phone Samsung A03 Core 2/32 v15,55,"3,499",365,"23,574",0.157080587,0.911,0.148426232
MK Phone Samsung A03 Core 2/32 v14 ST Pilot ,50,"3,999",365,"22,249",0.167624999,0.939,0.179738415
MK Phone Samsung A03 Core 2/32 v13,60,"3,999",365,"25,899",0.155891141,0.914,0.154407506
MK Phone Samsung A03 Core 2/32 v12,50,"3,499",365,"21,749",0.127310522,0.925,0.16088096
MK Phone Samsung A03 Core 2/32 v11,50,"3,299",365,"21,549",0.317500405,0.734,0.153092951
MK Phone Samsung A03 Core 2/32 v10,60,"3,999",365,"25,899",0.153915527,0.907,0.154407506
MK Phone Samsung A03 Core 2/32 Insurance Pilot v4,71,"3,399",365,"29,314",0.123757201,0.991,0.115951423
MK Phone Samsung A03 Core 2/32 Insurance Pilot v3,71,"3,699",365,"29,614",0.139292631,0.977,0.124907139
MK Phone Samsung A03 Core 2/32 Insurance Pilot v2,65,"3,199",365,"26,924",0.150133795,0.941,0.118815926
MK Phone Samsung A03 Core 2/32 Insurance Pilot v1,65,"2,999",365,"26,724",0.15603143,0.947,0.112221224
MK Phone Samsung A03 Core 2/32 28 DS,71,"3,399",365,"29,314",0.135982642,0.987,0.115951423
MK Phone Samsung A03 4/64 v3 DS,85,"4,799",365,"35,824",0.15522835,0.931,0.133960473
MK Phone Samsung A03 3/32 v9,70,"4,999",365,"30,549",0.158659223,0.914,0.163638744
MK Phone Samsung A03 3/32 v8,70,"4,999",365,"30,549",0.155185515,0.92,0.163638744
MK Phone Samsung A03 3/32 v7,60,"3,499",365,"25,399",0.155092868,0.918,0.137761329
MK Phone Samsung A03 3/32 v5,55,"4,999",365,"25,074",0.114985221,0.95,0.199369865
MK Phone Samsung A03 3/32 v3,55,"3,999",365,"24,074",0.132166109,0.939,0.166112819
MK Phone Samsung A03 3/32 v2,55,"3,999",365,"24,074",0.13367705,0.941,0.166112819
MK Phone Samsung A03 3/32 v14 HRA,60,"3,999",365,"25,899",0.188649299,0.899,0.154407506
MK Phone Samsung A03 3/32 v13 HRA,55,"5,824",365,"25,899",0.028634598,0.997,0.224873547
MK Phone Samsung A03 3/32 v13,60,"3,999",365,"25,899",0.150293723,0.923,0.154407506
MK Phone Samsung A03 3/32 v12,65,"4,399",365,"28,124",0.160219292,0.922,0.15641445
MK Phone Samsung A03 3/32 v10 Promo,70,"4,499",365,"30,049",0.175145344,0.914,0.149722121
MK Phone Samsung A03 3/32 ST Pilot v14,60,"3,999",365,"25,899",0.142592094,0.949,0.154407506
MK Phone Samsung A03 3/32 ST Pilot v10,60,"4,999",365,"26,899",0.097204262,0.968,0.18584334
MK Phone Samsung A02S v3,55,"4,499",365,"24,574",0.12565828,0.95,0.183079678
MK Phone Samsung A02s v2,55,"4,499",365,"24,574",0.112741341,0.96,0.183079678
MK Phone Samsung A02 3GB/64GB v1,55,"3,999",365,"24,074",0.120502384,0.955,0.166112819
MK Phone Samsung A02 3/64 Saf-Data v9,55,"3,499",365,"23,574",0.165250931,0.903,0.148426232
MK Phone Samsung A02 3/64 Saf-Data v1,55,"3,999",365,"24,074",0.135696197,0.934,0.166112819
MK Phone Samsung A02 3/64 Saf-Data 6-M v1,100,"3,499",180,"21,499",0.155835594,0.862,0.162751756
MK Phone Samsung A02 2GB/32GB v2,50,"3,499",365,"21,749",0.117445841,0.953,0.16088096
MK Phone Samsung A02 2/32 Saf-Data v8,50,"2,999",365,"21,249",0.132804422,0.968,0.141136053
MK Phone Samsung A02 2/32 Saf-Data v1,50,"3,499",365,"21,749",0.138085959,0.926,0.16088096
MK Phone Samsung A01 v4,50,"3,499",365,"21,749",0.16520977,0.926,0.16088096
MK Phone Nokia T10 Tablet 4/64 v1,100,"6,799",365,"43,299",0.215225357,0.93,0.157024412
MK Phone Nokia G50 4/128 v7,100,"7,999",365,"44,499",0.086138078,0.963,0.179756848
MK Phone Nokia G50 4/128 v5,100,"8,999",365,"45,499",0.116327585,0.96,0.197784567
MK Phone Nokia G50 4/128 v3,105,"7,999",365,"46,324",0.091585543,0.972,0.172675071
MK Phone Nokia G50 4/128 v19 HRA,100,"5,999",365,"42,499",0.141584727,0.937,0.141156263
MK Phone Nokia G50 4/128 v18 HRA,85,"11,474",365,"42,499",0.034362475,0.989,0.269982823
MK Phone Nokia G50 4/128 v18,100,"5,999",365,"42,499",0.117105395,0.95,0.141156263
MK Phone Nokia G50 4/128 v16,130,"8,499",365,"55,949",0.113719782,0.953,0.1519062
MK Phone Nokia G50 4/128 v15,135,"9,499",365,"58,774",0.124560158,0.926,0.161619083
MK Phone Nokia G50 4/128 v14,145,"14,499",273,"54,084",0.002266004,1,0.268082982
MK Phone Nokia G50 4/128 v13,135,"9,499",365,"58,774",0.104126009,0.939,0.161619083
MK Phone Nokia G50 4/128 v12,145,"14,499",273,"54,084",0.001598759,1,0.268082982
MK Phone Nokia G50 4/128 v10,140,"9,499",365,"60,599",0.175131336,0.903,0.156751762
MK Phone Nokia G50 4/128 v1,105,"6,999",365,"45,324",0.100643977,0.965,0.154421499
MK Phone Nokia G50 4/128 HMD v8,100,"7,999",365,"44,499",0.056872903,0.988,0.179756848
MK Phone Nokia G50 4/128 HMD v6,100,"8,999",365,"45,499",0.134299939,0.988,0.197784567
MK Phone Nokia G50 4/128 HMD v4,105,"7,999",365,"46,324",0.140480845,0.966,0.172675071
MK Phone Nokia G50 4/128 HMD v2,105,"6,999",365,"45,324",0.082485336,0.961,0.154421499
MK Phone Nokia G50 4/128 HMD v19,100,"5,999",365,"42,499",0.098592135,0.955,0.141156263
MK Phone Nokia G50 4/128 HMD v17,130,"8,499",365,"55,949",0.051907396,0.937,0.1519062
MK Phone Nokia G50 4/128 HMD v120 HRA,100,"5,999",365,"42,499",0.193837912,0.938,0.141156263
MK Phone Nokia G50 4/128 HMD v12,135,"9,499",365,"58,774",0.173556536,0.887,0.161619083
MK Phone Nokia G21 4/64 v7,70,"4,499",365,"30,049",0.105157535,0.954,0.149722121
MK Phone Nokia G21 4/64 v6,70,"4,999",365,"30,549",0.093482036,0.963,0.163638744
MK Phone Nokia G21 4/64 v20,95,"4,899",365,"39,574",0.178373941,0.921,0.1237934
MK Phone Nokia G21 4/64 v2,65,"4,999",365,"28,724",0.089376567,0.964,0.17403565
MK Phone Nokia G21 4/64 v19,80,"4,999",365,"34,199",0.153672396,0.937,0.146173865
MK Phone Nokia G21 4/64 v18 HRA,95,"4,899",365,"39,574",0.227406236,0.898,0.1237934
MK Phone Nokia G21 4/64 v17 HRA,80,"4,999",365,"34,199",0.201627388,0.912,0.146173865
MK Phone Nokia G21 4/64 v16 HRA,80,"5,599",365,"34,799",0.219151667,0.893,0.160895428
MK Phone Nokia G21 4/64 v15 HRA,70,"9,249",365,"34,799",0.091298006,0.981,0.2657835
MK Phone Nokia G21 4/64 v15,80,"5,599",365,"34,799",0.139221118,0.943,0.160895428
MK Phone Nokia G21 4/64 v13,85,"5,699",365,"36,724",0.138112594,0.946,0.15518462
MK Phone Nokia G21 4/64 v11,90,"5,999",365,"38,849",0.13571921,0.942,0.154418389
MK Phone Nokia G21 4/64 v10,90,"5,999",365,"38,849",0.121965914,0.95,0.154418389
MK Phone Nokia G21 4/64 Insurance Pilot v1,95,"4,899",365,"39,574",0.160043798,0.943,0.1237934
MK Phone Nokia G21 4/64 HMD v8,70,"4,499",365,"30,049",0.083096434,0.965,0.149722121
MK Phone Nokia G21 4/64 HMD v5,65,"4,999",365,"28,724",0.058615968,0.973,0.17403565
MK Phone Nokia G21 4/64 HMD v20 HRA,95,"4,899",365,"39,574",0.302126849,0.813,0.1237934
MK Phone Nokia G21 4/64 HMD v20,95,"4,899",365,"39,574",0.213916526,0.861,0.1237934
MK Phone Nokia G21 4/64 HMD v19 HRA,80,"4,999",365,"34,199",0.226839018,0.857,0.146173865
MK Phone Nokia G21 4/64 HMD v19,80,"4,999",365,"34,199",0.149071924,0.911,0.146173865
MK Phone Nokia G21 4/64 HMD v17 HRA,80,"5,599",365,"34,799",0.698915814,0.83,0.160895428
MK Phone Nokia G21 4/64 HMD v16,80,"5,599",365,"34,799",0.099285977,0.966,0.160895428
MK Phone Nokia G21 4/64 HMD v14,85,"5,699",365,"36,724",0.144452338,0.963,0.15518462
MK Phone Nokia G21 4/64 HMD v11,90,"5,999",365,"38,849",0.122411974,0.942,0.154418389
MK Phone Nokia G20 4/64 v3,70,"4,999",365,"30,549",0.109479483,0.954,0.163638744
MK Phone Nokia G20 4/64 Saf-Data v4,70,"4,999",365,"30,549",0.103477785,0.963,0.163638744
MK Phone Nokia G20 4/64 Saf-Data HMD,70,"4,999",365,"30,549",0.10078634,0.968,0.163638744
MK Phone Nokia G10 3/32 v8,65,"4,999",365,"28,724",0.142431755,0.938,0.17403565
MK Phone Nokia G10 3/32 v2,55,"3,999",365,"24,074",0.17401787,0.96,0.166112819
MK Phone Nokia G10 3/32 v13,60,"3,699",365,"25,599",0.147595747,0.882,0.144497832
MK Phone Nokia G10 3/32 v12,60,"3,699",365,"25,599",0.139150948,0.933,0.144497832
MK Phone Nokia G10 3/32 Saf-Data v3,55,"3,999",365,"24,074",0.121864558,0.947,0.166112819
MK Phone Nokia G10 3/32 Saf HMD v9,65,"4,999",365,"28,724",0.215673158,0.937,0.17403565
MK Phone Nokia G10 3/32 HMD v4,55,"4,299",365,"24,374",0.108476982,0.956,0.176376467
MK Phone Nokia G10 3/32 HMD v13,60,"3,699",365,"25,599",0.139855285,0.94,0.144497832
MK Phone Nokia C31 4/64 v9 HMD,80,"3,699",365,"32,899",0.199514171,0.89,0.112435028
MK Phone Nokia C31 4/64 v8 HRA,80,"3,699",365,"32,899",0.200066663,0.943,0.112435028
MK Phone Nokia C31 4/64 v8,80,"3,699",365,"32,899",0.166319294,0.957,0.112435028
MK Phone Nokia C31 4/64 v7 HMD,85,"3,999",365,"35,024",0.036588505,1,0.114178849
MK Phone Nokia C31 4/64 v6 HRA,80,"3,699",365,"32,899",0.216912948,0.913,0.112435028
MK Phone Nokia C31 4/64 v6 HMD,90,"4,099",365,"36,949",0.147286258,0.931,0.110936697
MK Phone Nokia C31 4/64 v6,80,"3,699",365,"32,899",0.178536316,0.924,0.112435028
MK Phone Nokia C31 4/64 v5 HRA,80,"3,499",365,"32,699",0.222372099,0.892,0.10700633
MK Phone Nokia C31 4/64 v5 HMD,70,"4,299",365,"29,849",0.090504364,0.945,0.144024925
MK Phone Nokia C31 4/64 v5,80,"3,499",365,"32,699",0.179269437,0.913,0.10700633
MK Phone Nokia C31 4/64 v4 HRA,85,"3,999",365,"35,024",0.2248889,0.879,0.114178849
MK Phone Nokia C31 4/64 v4,85,"3,999",365,"35,024",0.181084427,0.902,0.114178849
MK Phone Nokia C31 4/64 v3 HRA,90,"4,099",365,"36,949",0.259860317,0.859,0.110936697
MK Phone Nokia C31 4/64 v3,90,"4,099",365,"36,949",0.191008144,0.901,0.110936697
MK Phone Nokia C31 4/64 v2 HRA,70,"4,299",365,"29,849",0.177309947,0.915,0.144024925
MK Phone Nokia C31 4/64 v11 HMD,80,"3,699",365,"32,899",0.093705574,0.997,0.112435028
MK Phone Nokia C31 4/64 v1 HRA,60,"7,949",365,"29,849",0.07258681,0.998,0.266307079
MK Phone Nokia C31 4/64 v1,70,"4,299",365,"29,849",0.142468363,0.934,0.144024925
MK Phone Nokia C31 4/64 Insurance Pilot v4,80,"3,699",365,"32,899",0.153210049,0.962,0.112435028
MK Phone Nokia C31 4/64 Insurance Pilot v2,80,"3,699",365,"32,899",0.161462943,0.94,0.112435028
MK Phone Nokia C31 4/64 Insurance Pilot v1,80,"3,499",365,"32,699",0.153431875,0.948,0.10700633
MK Phone Nokia C31 4/64 DS v7 ST Pilot,90,"4,099",365,"36,949",0.163811524,0.933,0.110936697
MK Phone Nokia C30 2/32 v9,75,"5,499",365,"32,874",0.122064925,0.936,0.16727505
MK Phone Nokia C30 2/32 v8,60,"3,999",365,"25,899",0.109607239,0.94,0.154407506
MK Phone Nokia C30 2/32 v16 HRA,65,"4,299",365,"28,024",0.188154167,0.907,0.153404225
MK Phone Nokia C30 2/32 v15 HRA,60,"6,124",365,"28,024",0.298532764,0.792,0.218526977
